Methods used,Accuracy,MSE,RMSE,MAE,MAPE
LinearRegression,0.7265182404579982,20.055452052556745,4.478331391551628,3.0295296341263604,0.1511771997293202
Ridge,0.7265332519803078,20.054351200834788,4.478208481171325,3.028414202191444,0.1511159311812334
Lasso,0.7197173515006541,20.55418696865205,4.5336725696340325,2.943117100093161,0.147227867034751
ElasticNet,0.721265974041303,20.44062061905891,4.521130458088874,2.876967205016604,0.1428568667209158
DecisionTreeRegressor,0.677260001078949,23.667745098039216,4.864950677862954,2.8872549019607847,0.1484679083399301
RandomForestRegressor,0.8778095028592935,8.96069142156863,2.9934414010580914,2.1035784313725485,0.1120194280758823
XGBRegressor,0.8963917351408334,7.597986028799431,2.7564444541473043,1.905489923439774,0.098497377881287
KNeighborsRegressor,0.7102574457313017,21.24791764705883,4.609546360224488,2.684117647058823,0.1354380656590847
SVR,0.7185465347869877,20.64004738765254,4.543131891949929,2.4518966645403766,0.1248470876562916
VotingRegressor,0.8302629668352037,12.447458784383718,3.5280956314113308,2.139461724341575,0.1070516792968162
